day,netfund_reward
2018-08-17,652.39673569
2018-08-18,632.06017910
2018-08-19,538.51201874
2018-08-20,609.68996684
2018-08-21,551.93414611
2018-08-22,568.61012249
2018-08-23,643.04191966
2018-08-24,582.03224982
2018-08-25,530.78412723
2018-08-26,612.94381591
2018-08-27,588.13321684
2018-08-28,570.23704700
2018-08-29,602.77553757
2018-08-30,585.28609890
2018-08-31,607.23347263
2018-09-01,561.36950418
2018-09-02,547.67756509
2018-09-03,587.94797425
2018-09-04,626.20486300
2018-09-05,509.82338044
2018-09-06,586.33715787
2018-09-07,587.94797426
2018-09-08,566.60465741
2018-09-09,575.86685143
2018-09-10,557.74516739
2018-09-11,622.17782209
2018-09-12,539.22077916
2018-09-13,603.25072980
2018-09-14,591.16960703
2018-09-15,556.93975919
2018-09-16,570.63169833
2018-09-17,619.76159756
2018-09-18,515.46123770
2018-09-19,585.12904563
2018-09-20,584.72634148
2018-09-21,528.18429459
2018-09-22,612.03047521
2018-09-23,567.37417993
2018-09-24,582.52542302
2018-09-25,545.44474925
2018-09-26,631.56760441
2018-09-27,531.09094006
2018-09-28,645.92141359
2018-09-29,543.45116461
2018-09-30,485.63721096
2018-10-01,616.81507831
2018-10-02,596.87923219
2018-10-03,595.28436444
2018-10-04,563.38701061
2018-10-05,554.21652140
2018-10-06,597.67666586
2018-10-07,522.71788464
2018-10-08,590.10104435
2018-10-09,555.01395524
2018-10-10,579.33568747
2018-10-11,577.34210285
2018-10-12,581.89379215
2018-10-13,555.83507584
2018-10-14,607.15507574
2018-10-15,551.09784508
2018-10-16,543.99199894
2018-10-17,597.28584499
2018-10-18,612.68184496
2018-10-19,504.12030671
2018-10-20,547.93969124
2018-10-21,606.76030651
2018-10-22,551.88738354
2018-10-23,542.01815279
2018-10-24,584.65322963
2018-10-25,598.86492191
2018-10-26,556.62461430
2018-10-27,543.99199894
2018-10-28,576.75784503
2018-10-29,550.70307585
2018-10-30,579.91599887
2018-10-31,569.65199889
2018-11-01,526.62215282
2018-11-02,582.28461425
2018-11-03,601.53059160
2018-11-04,515.15430238
2018-11-05,526.09839984
2018-11-06,560.88499541
2018-11-07,639.83884144
2018-11-08,555.80380728
2018-11-09,473.72307622
2018-11-10,519.45376922
2018-11-11,637.88453829
2018-11-12,532.74303045
2018-11-13,573.78339599
2018-11-14,547.59573416
2018-11-15,562.44843789
2018-11-16,625.76785896
2018-11-17,497.17471369
2018-11-18,601.53450031
2018-11-19,497.95643496
2018-11-20,600.75277905
2018-11-21,537.43335795
2018-11-22,534.30647296
2018-11-23,545.25057046
2018-11-24,550.86193537
2018-11-25,583.19500894
2018-11-26,569.26334320
2018-11-27,454.32710054
2018-11-28,547.59186308
2018-11-29,628.85991346
2018-11-30,585.12996254
2018-12-01,531.33825304
2018-12-02,573.52024108
2018-12-03,507.73181936
2018-12-04,528.24232730
2018-12-05,576.22917610
2018-12-06,573.90723178
2018-12-07,559.20158454
2018-12-08,608.34940548
2018-12-09,467.87177562
2018-12-10,537.91709516
2018-12-11,568.48936176
2018-12-12,554.94468670
2018-12-13,494.96112572
2018-12-14,582.80801826
2018-12-15,562.02929898
2018-12-16,517.64797917
2018-12-17,549.06702751
2018-12-18,591.59769048
2018-12-19,547.15123188
2018-12-20,542.93648151
2018-12-21,500.40581848
2018-12-22,535.27329895
2018-12-23,591.59769046
2018-12-24,527.22695734
2018-12-25,513.43322880
2018-12-26,571.67341594
2018-12-27,572.43973422
2018-12-28,552.89861877
2018-12-29,450.21197303
2018-12-30,658.26737840
2018-12-31,567.07550642
2019-01-01,595.04612265
2019-01-02,449.06249564
2019-01-03,596.96191828
2019-01-04,541.40384501
2019-01-05,554.43125529
2019-01-06,584.69323740
2019-01-07,492.03701459
2019-01-08,563.73708842
2019-01-09,596.74188431
2019-01-10,450.30681289
2019-01-11,534.14658176
2019-01-12,553.49422073
2019-01-13,575.49741799
