Date,Open,High,Low,Close,Adj Close,Volume
2018-12-11,15.602297,15.638260,14.590538,14.772806,14.772806,1006081
2018-12-12,14.726309,15.359125,14.457130,14.888884,14.888884,802886
2018-12-13,14.900613,14.968416,14.209423,14.527919,14.527919,760900
2018-12-14,14.526004,16.522799,14.410743,15.036208,15.036208,2206454
2018-12-15,15.143481,15.227489,14.316088,14.545190,14.545190,1051780
2018-12-16,14.543571,15.454851,14.486545,15.077944,15.077944,939086
2018-12-17,15.086434,16.251690,14.966858,16.084740,16.084740,923588
2018-12-18,16.145952,18.394617,16.049160,18.364077,18.364077,1234300
2018-12-19,18.476309,18.996548,18.055964,18.306656,18.306656,1118462
2018-12-20,18.277182,19.900499,17.569439,19.737856,19.737856,1269525
2018-12-21,19.695452,19.982590,18.041212,18.115192,18.115192,1068897
2018-12-22,18.133730,18.835711,17.952038,18.783430,18.783430,854276
2018-12-23,18.843258,19.516964,18.737185,19.236792,19.236792,1191517
2018-12-24,19.238874,21.384531,19.238874,19.711491,19.711491,1625651
2018-12-25,19.750013,19.786274,17.209978,17.971504,17.971504,1169267
2018-12-26,18.006689,18.364529,17.476131,18.026747,18.026747,778269
2018-12-27,17.991344,18.064819,16.335688,16.335688,16.335688,909726
2018-12-28,16.364504,21.527794,16.161812,19.943102,19.943102,5886042
2018-12-29,19.945469,20.757254,18.186235,18.205996,18.205996,2214029
2018-12-30,18.215351,19.378387,17.974230,18.681522,18.681522,1473578
2018-12-31,18.673359,18.996563,16.560511,16.583319,16.583319,2275825
2019-01-01,16.618670,17.574032,16.501221,17.464001,17.464001,1050857
2019-01-02,17.526106,18.463097,17.399290,18.415791,18.415791,1045368
2019-01-03,18.405468,18.965078,18.064249,18.236917,18.236917,1123367
2019-01-04,18.253637,18.596916,17.826155,18.562626,18.562626,872721
2019-01-05,18.522833,18.951122,18.310757,18.490410,18.490410,884930
