day,avg_block_voters,avg_block_poolsize,avg_block_difficulty,avg_hashrate
2017-02-11,5,43383,1658485.08848924,23743.79738655
2017-02-12,5,43899,1715859.51521959,24565.20167466
2017-02-13,5,43352,1903888.30823506,27257.12673035
2017-02-14,5,44124,1880109.48519748,26916.69583941
2017-02-15,5,43594,1718204.21867479,24598.76975686
2017-02-16,5,44195,1575165.25789175,22550.94422813
2017-02-17,5,43688,1676397.94286008,24000.24779889
2017-02-18,5,43721,1890094.01464166,27059.63993084
2017-02-19,5,43145,1947491.36557675,27881.37241465
2017-02-20,5,42944,1775199.49490112,25414.74591492
2017-02-21,5,42580,1809809.48417948,25910.24182180
2017-02-22,5,42307,2078587.98881451,29758.22477939
2017-02-23,5,42097,1816387.21831479,26004.41233178
2017-02-24,5,42075,1718352.49697970,24600.89259176
2017-02-25,5,41772,2024947.65410187,28990.27983493
2017-02-26,5,41737,1809397.29409844,25904.34067875
2017-02-27,5,41962,1773148.68500173,25385.38537676
2017-02-28,5,41690,2002433.03056318,28667.94792900
2017-03-01,5,41441,1809848.67779597,25910.80293948
2017-03-02,5,41370,1699769.09610086,24334.84226168
2017-03-03,5,41434,1681336.34853380,24070.94876843
2017-03-04,5,41460,1696173.72798146,24283.36896672
2017-03-05,5,41462,1906133.86989377,27289.27544331
2017-03-06,5,41858,1858866.49367096,26612.56932649
2017-03-07,5,41540,1698031.22809882,24309.96197424
2017-03-08,5,41542,1826620.60880522,26150.91925673
2017-03-09,5,41343,2097916.70311020,30034.94543197
2017-03-10,5,41293,1915393.61628845,27421.84313642
2017-03-11,5,41164,1935008.04693876,27702.65426366
2017-03-12,5,41218,2064077.11561715,29550.47902666
2017-03-13,5,41217,2345006.10369460,33572.41508096
2017-03-14,5,41046,2268849.34382424,32482.11243759
2017-03-15,5,40911,2173096.24918302,31111.25773767
2017-03-16,5,41120,2218795.20384528,31765.50945679
2017-03-17,5,41007,2542163.57793946,36395.03142777
2017-03-18,5,41307,2529163.37292740,36208.91324321
2017-03-19,5,41021,2330397.57659623,33363.27126053
2017-03-20,5,41086,2229816.64188647,31923.29850993
2017-03-21,5,41667,2735518.17453116,39163.20365742
2017-03-22,5,41545,2907255.53042595,41621.89141432
2017-03-23,5,41838,2637286.44908908,37756.86349674
2017-03-24,5,41511,2749756.86324242,39367.05266526
2017-03-25,5,41945,3086137.30231095,44182.86261464
2017-03-26,5,41755,3140086.41244223,44955.22816018
2017-03-27,5,41438,4140062.49330670,59271.44337383
2017-03-28,5,42413,4106627.32856958,58792.76691022
2017-03-29,5,41704,3586003.46937129,51339.22541431
2017-03-30,5,41990,3199528.92419483,45806.24030674
2017-03-31,5,42327,3385169.31710141,48463.97169458
2017-04-01,5,42219,3737264.87357121,53504.76802826
2017-04-02,5,42461,4165218.61489254,59631.59243885
2017-04-03,5,42052,4139988.64718448,59270.38615156
2017-04-04,5,41871,4039966.17502502,57838.40866226
2017-04-05,5,42995,4120068.43345906,58985.19726330
2017-04-06,5,42052,4412281.96065937,63168.68907254
2017-04-07,5,43323,4088181.41280390,58528.68489369
2017-04-08,5,42255,4120085.44595515,58985.44082368
2017-04-09,5,43223,4721938.16290181,67601.89994466
2017-04-10,5,42294,5692668.37899126,81499.41504914
2017-04-11,5,43487,5018059.53356942,71841.33862021
2017-04-12,5,42593,5030501.76267105,72019.46851047
2017-04-13,5,43575,5681902.40190096,81345.28331743
2017-04-14,5,42549,5428517.50858742,77717.68388382
2017-04-15,5,43779,5203412.04564697,74494.94854555
2017-04-16,5,42858,5213088.31824845,74633.47946012
2017-04-17,5,43951,4936167.84605288,70668.93155455
2017-04-18,5,42943,5361599.19275919,76759.64395720
2017-04-19,5,44003,5631063.14507945,80617.44016609
2017-04-20,5,43162,5617378.78004418,80421.52716511
2017-04-21,5,43988,6140342.36806843,87908.56552366
2017-04-22,5,43171,6672048.05502015,95520.76064551
2017-04-23,5,44446,6447974.02553175,92312.79188372
2017-04-24,5,43415,3896703.54046014,55787.38089495
2017-04-25,5,43844,4130659.39684935,59136.82340128
2017-04-26,5,43060,7433772.58804779,106426.03383856
2017-04-27,5,44286,7242361.85665696,103685.69106713
2017-04-28,5,43203,5919563.43050898,84747.77113545
2017-04-29,5,44141,5949694.92936167,85179.15047595
2017-04-30,5,43159,7023991.15158728,100559.37427820
2017-05-01,5,44260,7378055.17353746,105628.35226142
2017-05-02,5,43238,7530073.81502847,107804.73590671
2017-05-03,5,44309,7256431.29967226,103887.11705921
2017-05-04,5,43328,7157809.98921698,102475.19938223
2017-05-05,5,44503,7133673.37128588,102129.64610006
2017-05-06,5,43416,6767032.10564199,96880.60528238
2017-05-07,5,44411,7745752.12319814,110892.50684020
2017-05-08,5,43353,8232463.24085462,117860.53461664
2017-05-09,5,44455,7910564.06319032,113252.04648105
2017-05-10,5,43324,7255816.35351516,103878.31314710
2017-05-11,5,44364,7125661.63149352,102014.94556542
2017-05-12,5,43364,7543722.44126108,108000.13725106
2017-05-13,5,44372,8027321.14562080,114923.60598310
2017-05-14,5,43296,8462174.27520974,121149.20588359
2017-05-15,5,44394,8151411.71534324,116700.15577877
2017-05-16,5,43418,7821184.17835945,111972.43420682
2017-05-17,5,44550,6737096.74092050,96452.03390747
2017-05-18,5,43455,7565513.28934152,108312.10718392
2017-05-19,5,43181,8319655.76337770,119108.83139228
2017-05-20,5,43121,7630634.25492918,109244.41524220
2017-05-21,5,43269,7197806.00222694,103047.80460839
2017-05-22,5,43422,7172273.96991230,102682.27379575
2017-05-23,5,43386,6932516.63830000,99249.77413491
2017-05-24,5,43588,6831335.21270936,97801.20442200
2017-05-25,5,43329,6305558.00365770,90273.88469580
2017-05-26,5,43595,6362079.36807775,91083.07606817
2017-05-27,5,43545,6668011.12319956,95462.96567835
2017-05-28,5,43556,7147838.31564227,102332.43934260
2017-05-29,5,43595,7739137.19107113,110797.80378303
2017-05-30,5,43642,7351727.25925178,105251.42715866
2017-05-31,5,43740,6952463.90345955,99535.35030660
2017-06-01,5,43798,6749390.38196319,96628.03652823
2017-06-02,5,43832,7443701.08496414,106568.17573707
2017-06-03,5,43655,8755870.06562119,125353.91859956
2017-06-04,5,43687,7975834.65802048,114186.49671501
2017-06-05,5,43797,7308371.18320138,104630.71739626
2017-06-06,5,43795,7535673.98659694,107884.91108584
2017-06-07,5,43841,7262100.14091122,103968.27535164
2017-06-08,5,43803,7355158.21168760,105300.54658701
2017-06-09,5,43825,7594474.96031857,108726.73861620
2017-06-10,5,43883,7904995.04760275,113172.31734832
2017-06-11,5,43772,8122512.54391463,116286.41912488
2017-06-12,5,43967,8808309.45222008,126104.67010111
2017-06-13,5,43698,9001957.91156489,128877.04943380
2017-06-14,5,43735,8029239.14724686,114951.06516396
2017-06-15,5,43759,7452603.99337554,106695.63473862
2017-06-16,5,43780,7831472.18240398,112119.72300986
2017-06-17,5,43633,8911534.02452280,127582.49064172
2017-06-18,5,43807,9298611.61794299,133124.10932424
2017-06-19,5,43729,8426338.76680494,120636.16476148
2017-06-20,5,43821,8003949.51904360,114589.00474376
