day,sum_total_reward,sum_reward
2017-11-25,6374.10505787,6653651.21305887
2017-11-26,6804.60017069,6660455.81322956
2017-11-27,6448.16873323,6666903.98196279
2017-11-28,6568.52220560,6673472.50416839
2017-11-29,6474.22392528,6679946.72809367
2017-11-30,6508.07047223,6686454.79856590
2017-12-01,6879.30547812,6693334.10404402
2017-12-02,6223.91528261,6699558.01932663
2017-12-03,5944.34324123,6705502.36256786
2017-12-04,7058.04825863,6712560.41082649
2017-12-05,6489.73787926,6719050.14870575
2017-12-06,6095.58713238,6725145.73583813
2017-12-07,6402.65806318,6731548.39390131
2017-12-08,6301.82880234,6737850.22270365
2017-12-09,6443.90639712,6744294.12910077
2017-12-10,6668.48065984,6750962.60976061
2017-12-11,6535.56936157,6757498.17912218
2017-12-12,6741.81103154,6764239.99015372
2017-12-13,7410.95067121,6771650.94082493
2017-12-14,5279.78674897,6776930.72757390
2017-12-15,6466.82213818,6783397.54971208
2017-12-16,6865.55603339,6790263.10574547
2017-12-17,6792.22566183,6797055.33140730
2017-12-18,5293.53619392,6802348.86760122
2017-12-19,7603.44289648,6809952.31049770
2017-12-20,6259.46871512,6816211.77921282
2017-12-21,5672.21314480,6821883.99235762
2017-12-22,6842.95793786,6828726.95029548
2017-12-23,6343.80318107,6835070.75347655
2017-12-24,7006.31767647,6842077.07115302
2017-12-25,6076.07472069,6848153.14587371
2017-12-26,6543.46508391,6854696.61095762
2017-12-27,6003.47039250,6860700.08135012
2017-12-28,6647.83380580,6867347.91515592
2017-12-29,6924.63780726,6874272.55296318
2017-12-30,6262.12331189,6880534.67627507
2017-12-31,6275.73662339,6886810.41289846
2018-01-01,6271.19885287,6893081.61175133
2018-01-02,6856.57124950,6899938.18300083
2018-01-03,6942.78888934,6906880.97189017
2018-01-04,6230.35891832,6913111.33080849
2018-01-05,6520.77623131,6919632.10703980
2018-01-06,6221.28337724,6925853.39041704
2018-01-07,6829.34462634,6932682.73504338
2018-01-08,6157.75459000,6938840.48963338
2018-01-09,5985.31931042,6944825.80894380
2018-01-10,7534.51865861,6952360.32760241
2018-01-11,5818.23052205,6958178.55812446
2018-01-12,5791.27346943,6963969.83159389
2018-01-13,7521.01767864,6971490.84927253
2018-01-14,6155.19367967,6977646.04295220
2018-01-15,6936.94820531,6984582.99115751
2018-01-16,5202.71115400,6989785.70231151
2018-01-17,6712.30610024,6996498.00841175
2018-01-18,6865.06273176,7003363.07114351
2018-01-19,6582.01367923,7009945.08482274
2018-01-20,6640.42062649,7016585.50544923
2018-01-21,6456.21410029,7023041.71954952
2018-01-22,6051.85831110,7029093.57786062
2018-01-23,6379.83578463,7035473.41364525
2018-01-24,6990.86231045,7042464.27595570
2018-01-25,6379.83578463,7048844.11174033
2018-01-26,5598.08125892,7054442.19299925
2018-01-27,7503.04631006,7061945.23930931
2018-01-28,6083.30820598,7068028.54751529
2018-01-29,5988.95852184,7074017.50603713
2018-01-30,6901.00546841,7080918.51150554
2018-01-31,6816.68683232,7087735.19833786
2018-02-01,6347.80759377,7094083.00593163
2018-02-02,6530.19029268,7100613.19622431
2018-02-03,6632.50253841,7107245.69876272
2018-02-04,6556.88044374,7113802.57920646
2018-02-05,5693.89889280,7119496.47809926
2018-02-06,6717.02135010,7126213.49944936
2018-02-07,6881.61061497,7133095.11006433
2018-02-08,6134.28638529,7139229.39644962
2018-02-09,5974.14547893,7145203.54192855
2018-02-10,7037.30316282,7152240.84509137
2018-02-11,6258.84042357,7158499.68551494
2018-02-12,5934.11025234,7164433.79576728
2018-02-13,6681.43448202,7171115.23024930
2018-02-14,6810.43687881,7177925.66712811
2018-02-15,6143.18310231,7184068.85023042
2018-02-16,6196.56340443,7190265.41363485
2018-02-17,6370.04938632,7196635.46302117
2018-02-18,6334.46251824,7202969.92553941
2018-02-19,6503.50014162,7209473.42568103
2018-02-20,5876.28159171,7215349.70727274
2018-02-21,6552.43208523,7221902.13935797
2018-02-22,6851.15477110,7228753.29412907
2018-02-23,6095.57244990,7234848.86657897
2018-02-24,6161.63718018,7241010.50375915
2018-02-25,6091.16813454,7247101.67189369
2018-02-26,6218.89327983,7253320.56517352
2018-02-27,6985.24415139,7260305.80932491
2018-02-28,6042.72066564,7266348.52999055
2018-03-01,6016.29477351,7272364.82476406
2018-03-02,6496.36514682,7278861.18991088
2018-03-03,6139.61560341,7285000.80551429
2018-03-04,6029.50771956,7291030.31323385
2018-03-05,6166.04149557,7297196.35472942
2018-03-06,6610.87734627,7303807.23207569
2018-03-07,6042.72066561,7309849.95274130
2018-03-08,6465.53493960,7316315.48768090
2018-03-09,5941.42141251,7322256.90909341
2018-03-10,6804.66722187,7329061.57631528
2018-03-11,6210.08464911,7335271.66096439
2018-03-12,7676.72166195,7342948.38262634
