day,block_count
2019-08-07,261
2019-08-08,301
2019-08-09,275
2019-08-10,296
2019-08-11,282
2019-08-12,290
2019-08-13,292
2019-08-14,294
2019-08-15,305
2019-08-16,304
2019-08-17,273
2019-08-18,287
2019-08-19,273
2019-08-20,303
2019-08-21,261
2019-08-22,288
2019-08-23,319
2019-08-24,292
2019-08-25,298
2019-08-26,257
2019-08-27,269
2019-08-28,319
2019-08-29,289
2019-08-30,270
2019-08-31,310
2019-09-01,286
2019-09-02,286
2019-09-03,274
2019-09-04,311
2019-09-05,251
2019-09-06,303
2019-09-07,290
2019-09-08,281
2019-09-09,288
2019-09-10,307
2019-09-11,273
2019-09-12,275
2019-09-13,283
2019-09-14,313
2019-09-15,287
2019-09-16,285
2019-09-17,300
2019-09-18,268
2019-09-19,301
2019-09-20,251
2019-09-21,325
2019-09-22,291
2019-09-23,257
2019-09-24,308
2019-09-25,278
2019-09-26,282
2019-09-27,274
2019-09-28,297
2019-09-29,319
2019-09-30,240
2019-10-01,329
2019-10-02,261
2019-10-03,315
2019-10-04,288
2019-10-05,286
2019-10-06,261
2019-10-07,315
2019-10-08,277
2019-10-09,267
2019-10-10,286
2019-10-11,290
2019-10-12,298
2019-10-13,298
2019-10-14,278
2019-10-15,287
2019-10-16,303
2019-10-17,238
2019-10-18,281
2019-10-19,330
2019-10-20,275
2019-10-21,266
2019-10-22,295
2019-10-23,302
2019-10-24,274
2019-10-25,277
2019-10-26,287
2019-10-27,278
2019-10-28,321
2019-10-29,291
2019-10-30,263
2019-10-31,316
2019-11-01,271
2019-11-02,285
2019-11-03,302
2019-11-04,272
2019-11-05,299
2019-11-06,273
2019-11-07,275
2019-11-08,311
2019-11-09,289
2019-11-10,280
2019-11-11,295
2019-11-12,271
2019-11-13,296
2019-11-14,294
2019-11-15,279
2019-11-16,311
2019-11-17,249
2019-11-18,288
2019-11-19,316
2019-11-20,263
2019-11-21,322
2019-11-22,289
2019-11-23,276
2019-11-24,308
2019-11-25,273
2019-11-26,275
2019-11-27,299
2019-11-28,278
2019-11-29,285
2019-11-30,270
2019-12-01,306
2019-12-02,293
2019-12-03,257
2019-12-04,304
2019-12-05,294
2019-12-06,298
2019-12-07,290
2019-12-08,307
2019-12-09,264
2019-12-10,280
2019-12-11,306
2019-12-12,274
2019-12-13,278
2019-12-14,307
2019-12-15,271
2019-12-16,267
2019-12-17,275
2019-12-18,310
2019-12-19,298
2019-12-20,237
2019-12-21,313
2019-12-22,264
2019-12-23,319
2019-12-24,290
2019-12-25,298
2019-12-26,285
2019-12-27,274
2019-12-28,294
2019-12-29,291
2019-12-30,288
2019-12-31,306
2020-01-01,289
2020-01-02,271
2020-01-03,289
2020-01-04,276
2020-01-05,314
2020-01-06,268
2020-01-07,308
2020-01-08,278
2020-01-09,302
2020-01-10,272
2020-01-11,287
2020-01-12,312
2020-01-13,287
2020-01-14,263
2020-01-15,281
2020-01-16,295
2020-01-17,282
2020-01-18,286
2020-01-19,312
2020-01-20,263
2020-01-21,295
2020-01-22,321
2020-01-23,246
2020-01-24,302
2020-01-25,276
2020-01-26,302
2020-01-27,303
2020-01-28,265
2020-01-29,256
2020-01-30,311
2020-01-31,297
2020-02-01,299
2020-02-02,245
2020-02-03,305
2020-02-04,295
2020-02-05,284
2020-02-06,285
2020-02-07,237
2020-02-08,327
2020-02-09,315
2020-02-10,279
